Point ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude,Y_Plus
113,0.99553,0,79.3209,-0,1.67175e-07,0,0,0,0,0,0,0.817266,0.0232624,0,0.817597,31.7283,-0.0353733,0.00336814,-0.000383628,0,0.00338992,1.00393,0,0,0,0,0.906521
114,0.995759,0,79.345,-0,1.67185e-07,0,0,0,0,0,0,0.841316,0.0204802,0,0.841565,31.738,-0.0160329,0.0033126,-0.000388197,0,0.00333527,1.00401,0,0,0,0,0.900892
115,0.995997,0,79.3696,-0,1.67194e-07,0,0,0,0,0,0,0.863146,0.0178858,0,0.863331,31.7478,0.00362208,0.00325287,-0.000391101,0,0.0032763,1.00408,0,0,0,0,0.894886
116,0.996245,0,79.3949,-0,1.67203e-07,0,0,0,0,0,0,0.882836,0.0154881,0,0.882972,31.758,0.0238404,0.00319078,-0.000392605,0,0.00321484,1.00415,0,0,0,0,0.888768
117,0.996507,0,79.421,-0,1.67212e-07,0,0,0,0,0,0,0.900496,0.01329,0,0.900594,31.7684,0.0447238,0.00312268,-0.000392301,0,0.00314722,1.00421,0,0,0,0,0.882054
118,0.996784,0,79.4479,-0,1.6722e-07,0,0,0,0,0,0,0.916256,0.0112896,0,0.916325,31.7792,0.0662788,0.00304871,-0.000390226,0,0.00307358,1.00427,0,0,0,0,0.874769
119,0.997071,0,79.4755,-0,1.67227e-07,0,0,0,0,0,0,0.930255,0.00948102,0,0.930303,31.7902,0.088299,0.00297072,-0.000386651,0,0.00299577,1.00433,0,0,0,0,0.867187
120,0.997366,0,79.5032,-0,1.67234e-07,0,0,0,0,0,0,0.942641,0.00785548,0,0.942673,31.8013,0.110462,0.00288092,-0.000380594,0,0.00290595,1.00439,0,0,0,0,0.85817
121,0.99766,0,79.5305,-0,1.6724e-07,0,0,0,0,0,0,0.95356,0.00640218,0,0.953582,31.8122,0.132324,0.0027897,-0.000373458,0,0.00281459,1.00443,0,0,0,0,0.849241
122,0.997949,0,79.5576,-0,1.67247e-07,0,0,0,0,0,0,0.963157,0.00510898,0,0.96317,31.823,0.153999,0.00269227,-0.00036467,0,0.00271685,1.00449,0,0,0,0,0.839687
123,0.998222,0,79.5846,-0,1.67255e-07,0,0,0,0,0,0,0.971568,0.00396307,0,0.971576,31.8338,0.175599,0.00260515,-0.000356547,0,0.00262944,1.00455,0,0,0,0,0.832131
