"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         296,      -5.929936059,       -3.82179409,      -4.926286225,       -2.12910864
          0,           0,         297,      -5.932574361,      -3.825243494,      -4.931714344,      -2.139731825
          0,           0,         298,      -5.937094148,      -3.830519086,      -4.937645333,      -2.137283641
          0,           0,         299,      -5.940123682,      -3.834344959,      -4.943140589,      -2.148857485
          0,           0,         300,      -5.943549004,      -3.838626082,      -4.948417092,      -2.145383916
          0,           0,         301,      -5.946213021,      -3.842135457,      -4.953955265,      -2.156230789
          0,           0,         302,       -5.95072463,      -3.847447778,      -4.959827592,      -2.153454737
          0,           0,         303,      -5.953776336,      -3.851335416,      -4.965818175,      -2.165066451
          0,           0,         304,      -5.957186667,      -3.855639136,      -4.970900548,      -2.161426791
          0,           0,         305,      -5.960329785,      -3.859638173,      -4.976932242,      -2.172692501
          0,           0,         306,      -5.963337403,      -3.863582632,      -4.981947694,      -2.168715707
          0,           0,         307,      -5.967555435,      -3.868612589,      -4.988955056,      -2.180753471
          0,           0,         308,      -5.970908627,      -3.872897628,      -4.993926769,      -2.177344607
          0,           0,         309,       -5.97355065,      -3.876466672,      -4.999969876,      -2.188366999
          0,           0,         310,      -5.978007108,      -3.881816174,      -5.006019645,      -2.184984046
          0,           0,         311,      -5.981031908,      -3.885763295,      -5.012114801,       -2.19702267
          0,           0,         312,      -5.984404772,      -3.890108178,      -5.017483443,      -2.192707582
          0,           0,         313,      -5.987064091,      -3.893729959,      -5.023657702,      -2.204173159
          0,           0,         314,      -5.991505394,      -3.899108267,      -5.029627362,      -2.200621839
          0,           0,         315,      -5.994544239,      -3.903107214,      -5.036244529,      -2.212883202
          0,           0,         316,      -5.997897729,      -3.907467539,      -5.041413127,      -2.208569938
          0,           0,         317,      -6.001898068,      -3.912402998,      -5.048792666,      -2.221147478
          0,           0,         318,      -6.005077142,      -3.916609857,      -5.053931854,      -2.216984151
          0,           0,         319,      -6.007606857,      -3.920158878,      -5.060257421,      -2.228646329
          0,           0,         320,      -6.011924425,      -3.925472994,      -5.066377225,      -2.224780308
          0,           0,         321,      -6.014893902,      -3.929453001,      -5.073357541,       -2.23741329
          0,           0,         322,      -6.019044404,      -3.934621434,      -5.079110301,      -2.233446186
          0,           0,         323,      -6.021881912,      -3.938489374,       -5.08579395,      -2.246018077
          0,           0,         324,      -6.025077211,      -3.942751393,      -5.091271084,      -2.241314968
          0,           0,         325,      -6.028099292,      -3.946809366,      -5.098514711,      -2.253880643
          0,           0,         326,      -6.031412973,      -3.951194748,      -5.103673526,      -2.249601764
